Date,Name,Status
10/18/2025,placeholder15,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder35,Present
10/27/2025,placeholder36,Present
10/27/2025,placeholder37,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1245,Present
10/31/2025,guest24,Present
10/31/2025,guest25,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder16,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder38,Present
10/27/2025,placeholder39,Present
10/27/2025,placeholder40,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1246,Present
10/31/2025,guest26,Present
10/31/2025,guest27,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder17,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder41,Present
10/27/2025,placeholder42,Present
10/27/2025,placeholder43,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1247,Present
10/31/2025,guest28,Present
10/31/2025,guest29,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder18,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder44,Present
10/27/2025,placeholder45,Present
10/27/2025,placeholder46,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1248,Present
10/31/2025,guest30,Present
10/31/2025,guest31,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder19,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder47,Present
10/27/2025,placeholder48,Present
10/27/2025,placeholder49,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1249,Present
10/31/2025,guest32,Present
10/31/2025,guest33,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder20,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder50,Present
10/27/2025,placeholder51,Present
10/27/2025,placeholder52,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1250,Present
10/31/2025,guest34,Present
10/31/2025,guest35,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder21,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder53,Present
10/27/2025,placeholder54,Present
10/27/2025,placeholder55,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1251,Present
10/31/2025,guest36,Present
10/31/2025,guest37,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder22,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder56,Present
10/27/2025,placeholder57,Present
10/27/2025,placeholder58,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1252,Present
10/31/2025,guest38,Present
10/31/2025,guest39,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder23,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder59,Present
10/27/2025,placeholder60,Present
10/27/2025,placeholder61,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1253,Present
10/31/2025,guest40,Present
10/31/2025,guest41,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder24,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder62,Present
10/27/2025,placeholder63,Present
10/27/2025,placeholder64,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1254,Present
10/31/2025,guest42,Present
10/31/2025,guest43,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder25,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder65,Present
10/27/2025,placeholder66,Present
10/27/2025,placeholder67,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1255,Present
10/31/2025,guest44,Present
10/31/2025,guest45,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder26,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder68,Present
10/27/2025,placeholder69,Present
10/27/2025,placeholder70,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1256,Present
10/31/2025,guest46,Present
10/31/2025,guest47,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder27,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder71,Present
10/27/2025,placeholder72,Present
10/27/2025,placeholder73,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1257,Present
10/31/2025,guest48,Present
10/31/2025,guest49,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder28,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder74,Present
10/27/2025,placeholder75,Present
10/27/2025,placeholder76,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1258,Present
10/31/2025,guest50,Present
10/31/2025,guest51,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder29,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder77,Present
10/27/2025,placeholder78,Present
10/27/2025,placeholder79,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1259,Present
10/31/2025,guest52,Present
10/31/2025,guest53,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder30,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder80,Present
10/27/2025,placeholder81,Present
10/27/2025,placeholder82,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1260,Present
10/31/2025,guest54,Present
10/31/2025,guest55,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder31,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder83,Present
10/27/2025,placeholder84,Present
10/27/2025,placeholder85,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1261,Present
10/31/2025,guest56,Present
10/31/2025,guest57,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder32,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder86,Present
10/27/2025,placeholder87,Present
10/27/2025,placeholder88,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1262,Present
10/31/2025,guest58,Present
10/31/2025,guest59,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder33,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder89,Present
10/27/2025,placeholder90,Present
10/27/2025,placeholder91,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1263,Present
10/31/2025,guest60,Present
10/31/2025,guest61,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder34,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder92,Present
10/27/2025,placeholder93,Present
10/27/2025,placeholder94,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1264,Present
10/31/2025,guest62,Present
10/31/2025,guest63,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder35,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder95,Present
10/27/2025,placeholder96,Present
10/27/2025,placeholder97,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1265,Present
10/31/2025,guest64,Present
10/31/2025,guest65,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder36,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder98,Present
10/27/2025,placeholder99,Present
10/27/2025,placeholder100,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1266,Present
10/31/2025,guest66,Present
10/31/2025,guest67,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder37,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder101,Present
10/27/2025,placeholder102,Present
10/27/2025,placeholder103,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1267,Present
10/31/2025,guest68,Present
10/31/2025,guest69,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder38,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder104,Present
10/27/2025,placeholder105,Present
10/27/2025,placeholder106,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1268,Present
10/31/2025,guest70,Present
10/31/2025,guest71,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder39,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder107,Present
10/27/2025,placeholder108,Present
10/27/2025,placeholder109,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1269,Present
10/31/2025,guest72,Present
10/31/2025,guest73,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder40,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder110,Present
10/27/2025,placeholder111,Present
10/27/2025,placeholder112,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1270,Present
10/31/2025,guest74,Present
10/31/2025,guest75,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder41,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder113,Present
10/27/2025,placeholder114,Present
10/27/2025,placeholder115,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1271,Present
10/31/2025,guest76,Present
10/31/2025,guest77,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder42,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder116,Present
10/27/2025,placeholder117,Present
10/27/2025,placeholder118,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1272,Present
10/31/2025,guest78,Present
10/31/2025,guest79,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder43,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder119,Present
10/27/2025,placeholder120,Present
10/27/2025,placeholder121,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1273,Present
10/31/2025,guest80,Present
10/31/2025,guest81,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder44,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder122,Present
10/27/2025,placeholder123,Present
10/27/2025,placeholder124,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1274,Present
10/31/2025,guest82,Present
10/31/2025,guest83,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder45,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder125,Present
10/27/2025,placeholder126,Present
10/27/2025,placeholder127,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1275,Present
10/31/2025,guest84,Present
10/31/2025,guest85,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder46,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder128,Present
10/27/2025,placeholder129,Present
10/27/2025,placeholder130,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1276,Present
10/31/2025,guest86,Present
10/31/2025,guest87,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder47,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder131,Present
10/27/2025,placeholder132,Present
10/27/2025,placeholder133,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1277,Present
10/31/2025,guest88,Present
10/31/2025,guest89,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder48,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder134,Present
10/27/2025,placeholder135,Present
10/27/2025,placeholder136,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1278,Present
10/31/2025,guest90,Present
10/31/2025,guest91,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder49,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder137,Present
10/27/2025,placeholder138,Present
10/27/2025,placeholder139,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1279,Present
10/31/2025,guest92,Present
10/31/2025,guest93,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder50,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder140,Present
10/27/2025,placeholder141,Present
10/27/2025,placeholder142,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1280,Present
10/31/2025,guest94,Present
10/31/2025,guest95,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder51,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder143,Present
10/27/2025,placeholder144,Present
10/27/2025,placeholder145,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1281,Present
10/31/2025,guest96,Present
10/31/2025,guest97,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder52,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder146,Present
10/27/2025,placeholder147,Present
10/27/2025,placeholder148,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1282,Present
10/31/2025,guest98,Present
10/31/2025,guest99,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder53,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder149,Present
10/27/2025,placeholder150,Present
10/27/2025,placeholder151,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1283,Present
10/31/2025,guest100,Present
10/31/2025,guest101,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder54,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder152,Present
10/27/2025,placeholder153,Present
10/27/2025,placeholder154,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1284,Present
10/31/2025,guest102,Present
10/31/2025,guest103,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder55,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder155,Present
10/27/2025,placeholder156,Present
10/27/2025,placeholder157,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1285,Present
10/31/2025,guest104,Present
10/31/2025,guest105,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder56,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder158,Present
10/27/2025,placeholder159,Present
10/27/2025,placeholder160,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1286,Present
10/31/2025,guest106,Present
10/31/2025,guest107,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder57,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder161,Present
10/27/2025,placeholder162,Present
10/27/2025,placeholder163,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1287,Present
10/31/2025,guest108,Present
10/31/2025,guest109,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder58,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder164,Present
10/27/2025,placeholder165,Present
10/27/2025,placeholder166,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1288,Present
10/31/2025,guest110,Present
10/31/2025,guest111,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder59,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder167,Present
10/27/2025,placeholder168,Present
10/27/2025,placeholder169,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1289,Present
10/31/2025,guest112,Present
10/31/2025,guest113,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder60,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder170,Present
10/27/2025,placeholder171,Present
10/27/2025,placeholder172,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1290,Present
10/31/2025,guest114,Present
10/31/2025,guest115,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder61,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder173,Present
10/27/2025,placeholder174,Present
10/27/2025,placeholder175,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1291,Present
10/31/2025,guest116,Present
10/31/2025,guest117,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder62,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder176,Present
10/27/2025,placeholder177,Present
10/27/2025,placeholder178,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1292,Present
10/31/2025,guest118,Present
10/31/2025,guest119,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder63,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder179,Present
10/27/2025,placeholder180,Present
10/27/2025,placeholder181,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1293,Present
10/31/2025,guest120,Present
10/31/2025,guest121,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder64,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder182,Present
10/27/2025,placeholder183,Present
10/27/2025,placeholder184,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1294,Present
10/31/2025,guest122,Present
10/31/2025,guest123,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder65,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder185,Present
10/27/2025,placeholder186,Present
10/27/2025,placeholder187,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1295,Present
10/31/2025,guest124,Present
10/31/2025,guest125,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder66,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder188,Present
10/27/2025,placeholder189,Present
10/27/2025,placeholder190,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1296,Present
10/31/2025,guest126,Present
10/31/2025,guest127,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder67,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder191,Present
10/27/2025,placeholder192,Present
10/27/2025,placeholder193,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1297,Present
10/31/2025,guest128,Present
10/31/2025,guest129,Present
11/1/2025,--- NEW DAY ---,
10/18/2025,placeholder68,Present
10/27/2025,--- NEW DAY ---,
10/27/2025,placeholder194,Present
10/27/2025,placeholder195,Present
10/27/2025,placeholder196,Present
10/31/2025,--- NEW DAY ---,
10/31/2025,1298,Present
10/31/2025,guest130,Present
10/31/2025,guest131,Present
2026-03-28,--- NEW DAY ---,
